recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
10,3,4,1200,0.001078,0.5,1,1
14,8,3,1369364942,0.002256,0.5,1,1
16,3,3,1374887755,0.001500,0.5,1,1
17,8,2,1124838348,0.001607,0.5,1,1
8,9,2,1369337842,0.001249,0.5,1,1
11,5,1,872747814,0.001447,0.5,1,1
12,5,2,1392759733,0.001485,0.5,1,1
14,3,4,1736542247,0.001709,0.5,1,1
13,6,4,1802875646,0.001824,0.5,1,1
13,3,2,2084299580,0.001295,0.5,1,1
13,3,2,2084299580,0.001347,0.6,1,1
13,2,6,527112972,0.001825,0.6,1,1
11,6,4,1061711910,0.001439,0.6,1,1
17,2,2,381977495,0.001561,0.6,1,1
13,5,1,2132976789,0.001480,0.6,1,1
18,2,4,2042645841,0.002381,0.6,1,1
12,5,2,1101045468,0.001479,0.6,1,1
15,2,6,1917629311,0.001684,0.6,1,1
10,5,3,580689345,0.001125,0.6,1,1
15,3,1,1679062881,0.001251,0.6,1,1
15,3,1,1679062881,0.001350,0.9,1,1
12,6,0,674672609,0.001808,0.9,1,1
13,6,0,1476599139,0.001367,0.9,1,1
10,6,2,913192810,0.001141,0.9,1,1
11,4,4,873670614,0.002037,0.9,1,1
9,6,1,19929454,0.001370,0.9,1,1
11,5,2,315787871,0.001572,0.9,1,1
12,4,3,1367655517,0.001060,0.9,1,1
10,6,2,690629401,0.001217,0.9,1,1
10,4,5,1655284074,0.001190,0.9,1,1
4,8,6,1655284074,0.000949,1,1,1
4,7,5,499606734,0.000829,1,1,1
7,7,6,48137004,0.001201,1,1,1
4,8,5,1269912601,0.001582,1,1,1
7,10,3,698738552,0.001336,1,1,1
5,6,9,576511653,0.002121,1,1,1
4,8,6,182818594,0.001817,1,1,1
4,6,6,116123361,0.002118,1,1,1
7,3,9,1260707314,0.001483,1,1,1
5,6,11,1658778381,0.001233,1,1,1
6,6,8,1658778381,0.001241,1.1,1,1
4,6,10,2072007113,0.001054,1.1,1,1
6,14,7,248867480,0.001345,1.1,1,1
7,7,5,747178343,0.001087,1.1,1,1
6,9,5,581613096,0.000954,1.1,1,1
2,10,6,1595465265,0.000653,1.1,1,1
4,5,8,853544145,0.001004,1.1,1,1
4,6,13,708747722,0.001344,1.1,1,1
5,8,4,1345604729,0.001239,1.1,1,1
9,11,5,792971331,0.001845,1.1,1,1
3,13,10,792971331,0.001236,1.5,1,1
3,11,8,223357692,0.001230,1.5,1,1
3,8,7,730018144,0.000896,1.5,1,1
4,5,13,1364287112,0.000966,1.5,1,1
3,8,8,32161888,0.000602,1.5,1,1
3,11,4,2128307874,0.000991,1.5,1,1
4,10,3,626257438,0.000850,1.5,1,1
4,5,8,718438098,0.000889,1.5,1,1
4,4,11,2117813119,0.001055,1.5,1,1
4,7,7,880353341,0.000878,1.5,1,1
2,11,8,880353341,0.000922,1.9,1,1
3,10,8,1249929211,0.001182,1.9,1,1
4,8,7,1999213425,0.001367,1.9,1,1
2,10,8,1550412765,0.000913,1.9,1,1
6,8,4,1590753936,0.001703,1.9,1,1
3,8,9,794147968,0.000918,1.9,1,1
5,9,3,961795259,0.001613,1.9,1,1
5,5,7,400133100,0.001144,1.9,1,1
3,8,8,1376843579,0.000794,1.9,1,1
0,10,13,922984040,0.000715,1.9,1,1
0,8,14,922984040,0.000739,2,1,1
0,13,9,2122953314,0.000620,2,1,1
2,8,13,930438992,0.001260,2,1,1
3,13,2,1862564282,0.000717,2,1,1
0,16,7,2037905665,0.000630,2,1,1
0,12,10,589630826,0.000837,2,1,1
0,13,8,1609158967,0.000750,2,1,1
2,8,12,1135098864,0.001122,2,1,1
2,8,13,1990525096,0.001022,2,1,1
2,10,10,1536145303,0.000927,2,1,1
0,13,12,1536145303,0.000967,3,1,1
0,12,9,407362672,0.001190,3,1,1
0,15,6,2126012848,0.000795,3,1,1
0,16,5,248954374,0.001465,3,1,1
0,12,9,1328518392,0.000779,3,1,1
2,8,9,84684662,0.000866,3,1,1
0,12,10,196965673,0.000824,3,1,1
0,12,11,1790835779,0.000718,3,1,1
0,11,15,147082034,0.000854,3,1,1
0,17,4,789901311,0.000590,3,1,1
0,18,2,789901311,0.000708,50,1,1
0,14,6,1816618595,0.000509,50,1,1
0,10,12,327273014,0.000818,50,1,1
0,14,9,2121179945,0.000856,50,1,1
0,9,13,1694754076,0.000655,50,1,1
0,14,7,2072685713,0.000761,50,1,1
0,13,8,1530629261,0.000626,50,1,1
0,11,12,1930865405,0.000923,50,1,1
0,11,10,1022539378,0.000673,50,1,1
0,17,3,714418349,0.000567,50,1,1
17,3,2,714418349,0.002012,0.5,1,1.3
18,3,2,471194152,0.003084,0.5,1,1.3
19,0,5,1261620108,0.002137,0.5,1,1.3
18,6,5,886476905,0.001530,0.5,1,1.3
19,7,4,264416819,0.002187,0.5,1,1.3
18,3,3,2073731626,0.001696,0.5,1,1.3
14,2,4,312176877,0.001638,0.5,1,1.3
12,2,7,466951057,0.001492,0.5,1,1.3
21,4,1,218328787,0.002032,0.5,1,1.3
20,5,4,367130616,0.003139,0.5,1,1.3
20,5,4,367130616,0.002293,0.6,1,1.3
22,4,2,1470020261,0.002204,0.6,1,1.3
19,0,4,589392622,0.001730,0.6,1,1.3
14,2,4,984204931,0.001460,0.6,1,1.3
18,2,1,1768921771,0.001731,0.6,1,1.3
16,1,4,498474619,0.001461,0.6,1,1.3
19,6,3,200742825,0.001723,0.6,1,1.3
18,1,3,122345363,0.001507,0.6,1,1.3
18,3,3,457729064,0.002376,0.6,1,1.3
18,4,2,933641375,0.002157,0.6,1,1.3
13,6,1,933641375,0.001594,0.9,1,1.3
10,3,4,1494483261,0.001593,0.9,1,1.3
10,5,2,1810773273,0.001205,0.9,1,1.3
13,4,3,618183699,0.001331,0.9,1,1.3
9,9,2,1705628375,0.001025,0.9,1,1.3
14,5,2,1883227069,0.001696,0.9,1,1.3
