recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,1886826832.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3774111285.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2360129043.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3431956763.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3150818750.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2208731342.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3232191541.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3165087033.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3100839744.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,2272770325.000000,0.000000,-1,-1,1,2,50,1000,2147483647
0,0,0,3647125894.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2373433512.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2054367477.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2843198672.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2604221778.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2280637532.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2882035746.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2184595987.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2306994595.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,1781417611.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2434875383.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,1823489024.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2822267732.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3306007206.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2908008053.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2745607405.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3753512271.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3656077817.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,1684038554.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3388611565.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3578947616.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,1698571277.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2066079685.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3249672407.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2098484309.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3208009783.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
