recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
14,4,6,1253,0.5,1,1
8,7,1,1326050184,0.5,1,1
12,8,0,1534038298,0.5,1,1
17,4,2,1797288966,0.5,1,1
12,4,3,73323093,0.5,1,1
11,5,2,1652176034,0.5,1,1
16,9,3,1155415147,0.5,1,1
10,5,2,1360478394,0.5,1,1
12,4,4,1606908919,0.5,1,1
11,6,1,708908986,0.5,1,1
11,6,1,708908986,0.6,1,1
16,4,4,142371902,0.6,1,1
11,10,3,2021284736,0.6,1,1
14,4,3,31986378,0.6,1,1
17,3,2,954799203,0.6,1,1
8,6,2,1311450204,0.6,1,1
14,5,3,913451775,0.6,1,1
11,5,3,1306181990,0.6,1,1
16,11,2,1760608918,0.6,1,1
12,6,1,1361305726,0.6,1,1
12,6,1,1361305726,0.9,1,1
11,5,2,541619806,0.9,1,1
13,4,4,537866996,0.9,1,1
13,4,3,2045163013,0.9,1,1
16,4,1,1653139591,0.9,1,1
14,6,2,833274318,0.9,1,1
11,6,1,2067407353,0.9,1,1
17,4,2,742655105,0.9,1,1
9,5,5,1259792681,0.9,1,1
11,9,3,1502906671,0.9,1,1
4,13,5,1502906671,1,1,1
4,12,4,1477302921,1,1,1
5,6,5,415335275,1,1,1
8,8,2,1864660889,1,1,1
7,7,7,1001614100,1,1,1
6,14,3,875778416,1,1,1
4,8,5,895983546,1,1,1
4,8,7,588329836,1,1,1
4,8,4,1162485559,1,1,1
2,13,7,1876996239,1,1,1
2,13,7,1876996239,1.1,1,1
4,9,8,755129402,1.1,1,1
7,7,6,1476766527,1.1,1,1
3,6,8,499216276,1.1,1,1
7,8,5,1852841523,1.1,1,1
5,10,4,1961210649,1.1,1,1
8,7,6,2045514805,1.1,1,1
4,7,5,2032120074,1.1,1,1
6,6,5,1456933126,1.1,1,1
3,12,4,167643010,1.1,1,1
3,11,4,167643010,1.5,1,1
3,8,8,1113690952,1.5,1,1
3,9,7,1735786532,1.5,1,1
0,12,9,1267060992,1.5,1,1
5,7,9,1264806329,1.5,1,1
3,8,10,923080532,1.5,1,1
2,8,9,6092908,1.5,1,1
6,9,4,567633004,1.5,1,1
3,9,10,1171609866,1.5,1,1
3,11,5,2066349795,1.5,1,1
3,10,5,2066349795,1.9,1,1
2,9,9,1145862714,1.9,1,1
4,8,7,1953294290,1.9,1,1
2,7,12,303555595,1.9,1,1
2,10,11,114824009,1.9,1,1
2,7,11,771956606,1.9,1,1
4,8,5,1646730074,1.9,1,1
2,11,9,954676557,1.9,1,1
4,7,10,1221116236,1.9,1,1
2,7,12,1751159839,1.9,1,1
0,11,12,1751159839,2,1,1
0,13,8,631158326,2,1,1
0,10,17,599302882,2,1,1
0,14,8,659916489,2,1,1
0,12,9,991536402,2,1,1
0,12,10,1735943490,2,1,1
0,14,8,1800131325,2,1,1
0,9,13,583936976,2,1,1
2,7,11,1892324705,2,1,1
2,9,8,177704665,2,1,1
0,12,10,177704665,3,1,1
0,15,8,196289601,3,1,1
0,16,6,874155330,3,1,1
0,11,10,1287162870,3,1,1
0,15,5,657050181,3,1,1
0,14,5,199378223,3,1,1
0,14,5,1946916314,3,1,1
0,10,14,579651268,3,1,1
0,11,12,2003993233,3,1,1
0,7,15,1560301768,3,1,1
0,10,13,1560301768,50,1,1
0,12,14,2066861705,50,1,1
0,12,11,366781548,50,1,1
0,11,11,1579568147,50,1,1
0,13,9,1905613012,50,1,1
0,14,6,1829579797,50,1,1
0,5,19,1886352776,50,1,1
0,15,5,414480407,50,1,1
0,12,10,312503118,50,1,1
0,10,17,1549488624,50,1,1
15,3,5,1549488624,0.5,1,1.3
18,0,6,48191940,0.5,1,1.3
18,1,4,1510615191,0.5,1,1.3
18,3,2,2008319307,0.5,1,1.3
16,1,2,1562795847,0.5,1,1.3
15,3,3,422280546,0.5,1,1.3
16,3,1,642718527,0.5,1,1.3
17,3,3,1842278996,0.5,1,1.3
16,2,4,25750265,0.5,1,1.3
20,3,1,769892608,0.5,1,1.3
20,3,1,769892608,0.6,1,1.3
20,2,3,749325055,0.6,1,1.3
17,1,6,654794663,0.6,1,1.3
18,5,4,1083150643,0.6,1,1.3
13,2,4,1258280716,0.6,1,1.3
15,2,4,17621494,0.6,1,1.3
17,1,4,1149133062,0.6,1,1.3
17,2,3,1672147606,0.6,1,1.3
15,6,2,234563951,0.6,1,1.3
17,2,1,393267048,0.6,1,1.3
11,5,1,393267048,0.9,1,1.3
22,2,3,416954563,0.9,1,1.3
9,6,3,768688887,0.9,1,1.3
12,8,0,1359525125,0.9,1,1.3
16,3,4,125608317,0.9,1,1.3
12,9,5,1195098388,0.9,1,1.3
14,3,4,1716707848,0.9,1,1.3
7,6,3,382555155,0.9,1,1.3
15,5,5,2116540278,0.9,1,1.3
11,4,5,1213034232,0.9,1,1.3
7,4,10,1213034232,1,1,1.3
9,2,9,984103116,1,1,1.3
11,2,11,456491547,1,1,1.3
7,4,8,1732881678,1,1,1.3
10,2,6,1507034121,1,1,1.3
9,5,6,1854482961,1,1,1.3
9,3,9,550586408,1,1,1.3
8,8,3,2101237029,1,1,1.3
6,4,9,1643496502,1,1,1.3
8,4,10,1082981567,1,1,1.3
8,4,10,1082981567,1.1,1,1.3
4,7,11,1836234648,1.1,1,1.3
7,4,8,898329586,1.1,1,1.3
10,7,4,116660288,1.1,1,1.3
7,4,9,822264073,1.1,1,1.3
5,5,9,232219745,1.1,1,1.3
6,5,8,946306333,1.1,1,1.3
7,5,5,1766825314,1.1,1,1.3
9,5,4,1169065890,1.1,1,1.3
8,5,4,891762572,1.1,1,1.3
3,7,8,891762572,1.5,1,1.3
6,7,8,2049867401,1.5,1,1.3
2,8,12,1712536234,1.5,1,1.3
4,10,3,1333903477,1.5,1,1.3
8,1,15,522420924,1.5,1,1.3
2,5,13,1411638868,1.5,1,1.3
5,4,11,955918564,1.5,1,1.3
7,6,8,642162097,1.5,1,1.3
5,8,5,351051236,1.5,1,1.3
5,7,5,2004490049,1.5,1,1.3
5,7,5,2004490049,1.9,1,1.3
4,6,7,1244998879,1.9,1,1.3
0,8,14,1060233045,1.9,1,1.3
3,14,3,1950689675,1.9,1,1.3
3,6,9,1968873379,1.9,1,1.3
5,13,6,2113994566,1.9,1,1.3
2,8,8,1092542614,1.9,1,1.3
2,7,10,686514188,1.9,1,1.3
4,5,9,1852642491,1.9,1,1.3
5,7,10,238224958,1.9,1,1.3
4,6,12,238224958,2,1,1.3
2,8,11,1425149978,2,1,1.3
