recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
5,0,0,2951558099.000000,0.000000,-1,-1,1,2,50,5,2147483647
5,0,0,1731142961.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,2705637666.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,3388712861.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,3544039434.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,3744834143.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,2526833070.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,3215190574.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,2851144879.000000,0.000000,-1,-1,1,2,50,1000,2147483647
5,0,0,1780096060.000000,0.000000,-1,-1,1,2,50,1000,2147483647
1,1,1,2437472722.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,2,0,3266802001.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,1,1,1786698092.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,1,1,2725603425.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,1,1,3561950718.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,2,0,2840007419.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,1,1,3064839781.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,2,0,3045839227.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,2,0,2340799636.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,1,1,3427726069.000000,0.000000,1.5,1.51,1,2,50,1000,2147483647
1,1,1,2359754270.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
1,1,1,2251932258.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
1,1,1,1683204880.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
1,2,0,3221190500.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
1,2,0,1851481052.000000,0.000000,1.2,1.21,1,2,50,1000,2147483647
