recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
55,3,6,1194,0.5,1,1
58,23,7,14213246,0.5,1,1
53,5,6,1088488531,0.5,1,1
50,16,3,1735514399,0.5,1,1
48,12,7,304784074,0.5,1,1
60,3,5,397847411,0.5,1,1
55,9,8,1198448444,0.5,1,1
52,16,5,1095422900,0.5,1,1
47,14,4,461280368,0.5,1,1
48,5,5,1052283649,0.5,1,1
49,5,5,1052283649,0.6,1,1
53,17,4,1710106016,0.6,1,1
50,17,5,69410595,0.6,1,1
47,12,9,1277121161,0.6,1,1
51,13,6,1616960148,0.6,1,1
52,12,7,1333134430,0.6,1,1
52,16,5,928279514,0.6,1,1
52,11,4,1414038633,0.6,1,1
52,11,5,790140868,0.6,1,1
54,11,6,135799703,0.6,1,1
52,5,7,135799703,0.9,1,1
52,11,4,788254897,0.9,1,1
48,4,7,1383266002,0.9,1,1
50,8,11,235362770,0.9,1,1
44,8,6,2022026761,0.9,1,1
47,10,9,252283068,0.9,1,1
55,24,5,1917675970,0.9,1,1
48,11,4,741837961,0.9,1,1
49,10,7,1305562413,0.9,1,1
46,7,7,1142298364,0.9,1,1
21,19,21,1142298364,1,1,1
13,33,21,1651924301,1,1,1
22,18,17,1743727665,1,1,1
18,22,18,236404419,1,1,1
17,26,16,108742523,1,1,1
16,26,22,1008530528,1,1,1
13,37,19,457249070,1,1,1
25,21,16,60589782,1,1,1
14,19,22,1987434182,1,1,1
19,18,21,1739684497,1,1,1
19,19,20,1739684497,1.1,1,1
20,27,18,1409168513,1.1,1,1
20,16,21,1816807490,1.1,1,1
20,25,21,1598081681,1.1,1,1
19,37,12,1361485259,1.1,1,1
23,26,13,348455943,1.1,1,1
21,16,20,241043016,1.1,1,1
17,40,14,1919580749,1.1,1,1
16,22,18,1257829562,1.1,1,1
25,32,19,2108731685,1.1,1,1
19,36,23,2108731685,1.5,1,1
10,30,22,2035748199,1.5,1,1
10,25,28,666202767,1.5,1,1
14,26,17,589822616,1.5,1,1
12,29,20,1722031285,1.5,1,1
15,29,15,792594053,1.5,1,1
11,31,25,1244700308,1.5,1,1
