recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
75,140,883,1086,1.5,1,1.1
86,141,853,819139142,1.5,1,1.1
88,147,839,112517321,1.5,1,1.1
75,136,860,160256248,1.5,1,1.1
77,126,864,1893575840,1.5,1,1.1
60,131,871,1842553552,1.5,1,1.1
62,129,892,271826577,1.5,1,1.1
69,129,883,729071068,1.5,1,1.1
63,141,867,110305948,1.5,1,1.1
86,140,842,1957368928,1.5,1,1.1
64,152,852,1957368928,1.9,1,1.1
61,156,856,1217689708,1.9,1,1.1
64,147,875,450447628,1.9,1,1.1
51,151,885,1258100902,1.9,1,1.1
54,151,869,932763205,1.9,1,1.1
54,154,881,2118114795,1.9,1,1.1
63,145,854,2132342679,1.9,1,1.1
53,149,875,1222360349,1.9,1,1.1
53,137,917,1102570138,1.9,1,1.1
50,162,855,255647253,1.9,1,1.1
33,161,883,255647253,2,1,1.1
34,152,917,1734006834,2,1,1.1
37,142,907,17282020,2,1,1.1
41,148,904,1676239605,2,1,1.1
45,146,893,1243318671,2,1,1.1
39,140,910,235318727,2,1,1.1
40,143,895,2107416297,2,1,1.1
35,166,883,546602869,2,1,1.1
40,150,889,1441101487,2,1,1.1
45,116,925,950679424,2,1,1.1
13,165,928,950679424,3,1,1.1
10,171,928,811896142,3,1,1.1
17,182,893,800720877,3,1,1.1
16,167,926,823288112,3,1,1.1
14,171,909,1866243432,3,1,1.1
14,163,927,1250053850,3,1,1.1
7,180,930,1560239003,3,1,1.1
13,175,922,1238215583,3,1,1.1
11,171,930,672394166,3,1,1.1
14,158,937,15113640,3,1,1.1
0,179,969,15113640,50,1,1.1
0,205,938,1079302661,50,1,1.1
0,219,927,637861578,50,1,1.1
0,189,965,1663729388,50,1,1.1
0,201,948,1554702366,50,1,1.1
0,188,951,1652487118,50,1,1.1
0,230,935,2007398768,50,1,1.1
0,204,961,516865101,50,1,1.1
0,198,957,1042674394,50,1,1.1
0,177,979,291837628,50,1,1.1
75,117,896,291837628,1.5,1,1.3
81,139,856,1885981974,1.5,1,1.3
78,137,857,1552299736,1.5,1,1.3
97,104,893,1081958631,1.5,1,1.3
65,137,873,295533753,1.5,1,1.3
85,124,865,464309176,1.5,1,1.3
76,127,865,1554917097,1.5,1,1.3
87,133,856,1773684658,1.5,1,1.3
75,131,859,69170747,1.5,1,1.3
83,127,880,1296621074,1.5,1,1.3
67,155,864,1296621074,1.9,1,1.3
55,145,877,1173723132,1.9,1,1.3
56,138,886,692179569,1.9,1,1.3
66,155,848,540264494,1.9,1,1.3
62,123,881,2005548270,1.9,1,1.3
64,146,867,1678553433,1.9,1,1.3
56,141,887,155265857,1.9,1,1.3
54,144,877,1261457632,1.9,1,1.3
66,127,892,1398938695,1.9,1,1.3
68,147,847,1022099215,1.9,1,1.3
37,145,900,1022099215,2,1,1.3
37,133,908,630320707,2,1,1.3
40,150,892,1398166358,2,1,1.3
39,141,910,173196720,2,1,1.3
41,133,930,1172992082,2,1,1.3
33,141,907,155973686,2,1,1.3
38,136,922,1940259991,2,1,1.3
44,152,909,1845189242,2,1,1.3
38,138,922,1314425314,2,1,1.3
40,125,937,1462445856,2,1,1.3
14,163,946,1462445856,3,1,1.3
14,174,919,95892376,3,1,1.3
10,182,913,294546478,3,1,1.3
11,155,947,939789207,3,1,1.3
11,177,913,1018570811,3,1,1.3
11,160,933,967832544,3,1,1.3
12,182,900,1586835571,3,1,1.3
16,165,922,2092070379,3,1,1.3
13,180,914,692428532,3,1,1.3
18,169,903,1249749118,3,1,1.3
0,204,938,1249749118,50,1,1.3
0,182,982,248421322,50,1,1.3
0,182,975,648110167,50,1,1.3
0,206,963,1201028406,50,1,1.3
0,184,971,426416255,50,1,1.3
0,194,958,541756392,50,1,1.3
0,190,961,842116706,50,1,1.3
0,218,927,1899900224,50,1,1.3
0,206,951,604306184,50,1,1.3
0,215,937,2059122802,50,1,1.3
80,126,877,2059122802,1.5,1,1.5
74,103,893,274229854,1.5,1,1.5
71,121,870,391551277,1.5,1,1.5
87,120,884,629584981,1.5,1,1.5
86,124,859,1330249165,1.5,1,1.5
82,115,864,1991765845,1.5,1,1.5
71,130,872,762381806,1.5,1,1.5
87,140,878,1202086275,1.5,1,1.5
77,120,874,1191717692,1.5,1,1.5
71,116,887,1364374204,1.5,1,1.5
60,123,891,1364374204,1.9,1,1.5
74,115,904,1628365581,1.9,1,1.5
74,127,866,740773903,1.9,1,1.5
77,111,908,1331603987,1.9,1,1.5
84,119,879,598044074,1.9,1,1.5
77,130,901,425913561,1.9,1,1.5
82,115,881,2044012440,1.9,1,1.5
72,118,871,1481552096,1.9,1,1.5
71,114,889,1461691966,1.9,1,1.5
73,140,853,952418717,1.9,1,1.5
36,146,893,952418717,2,1,1.5
45,138,920,1722174582,2,1,1.5
39,134,921,913806154,2,1,1.5
37,129,925,299206366,2,1,1.5
40,138,900,1398837434,2,1,1.5
40,125,928,1498389055,2,1,1.5
41,143,888,1780062685,2,1,1.5
43,130,925,1052877549,2,1,1.5
40,132,919,627209591,2,1,1.5
48,125,930,68538228,2,1,1.5
17,163,946,68538228,3,1,1.5
19,170,910,669925635,3,1,1.5
11,164,930,754888556,3,1,1.5
14,163,918,1111763280,3,1,1.5
19,180,935,1752242051,3,1,1.5
11,167,930,2106380824,3,1,1.5
17,170,913,83375489,3,1,1.5
19,167,909,656919948,3,1,1.5
15,155,943,578314378,3,1,1.5
18,160,912,1247300950,3,1,1.5
0,167,979,1247300950,50,1,1.5
0,195,953,1793583629,50,1,1.5
0,185,957,569673983,50,1,1.5
0,210,942,2136632918,50,1,1.5
0,162,1006,1437340025,50,1,1.5
0,196,955,584293394,50,1,1.5
0,162,980,1686603883,50,1,1.5
0,201,941,789659824,50,1,1.5
0,174,981,1334642700,50,1,1.5
0,158,991,995314730,50,1,1.5
120,43,919,995314730,1.5,1,2
156,47,897,1098728108,1.5,1,2
134,67,886,1574087295,1.5,1,2
130,62,893,490186002,1.5,1,2
156,46,915,705443350,1.5,1,2
133,54,914,653034030,1.5,1,2
131,50,911,1733222125,1.5,1,2
154,55,906,882425738,1.5,1,2
146,49,900,996406573,1.5,1,2
143,64,890,145824517,1.5,1,2
124,67,907,145824517,1.9,1,2
122,48,915,1649369705,1.9,1,2
139,61,903,1516324606,1.9,1,2
132,62,895,1601025578,1.9,1,2
136,55,906,1119096312,1.9,1,2
137,58,911,1882556043,1.9,1,2
143,51,891,512422886,1.9,1,2
145,61,904,1136298973,1.9,1,2
132,45,914,1469038828,1.9,1,2
129,52,900,17561816,1.9,1,2
40,102,955,17561816,2,1,2
49,91,987,754313533,2,1,2
46,85,981,1693974613,2,1,2
47,109,954,1330442628,2,1,2
42,110,951,2056615807,2,1,2
48,103,958,1346683742,2,1,2
54,94,975,595415571,2,1,2
55,106,921,608169994,2,1,2
49,97,948,1578702502,2,1,2
59,107,945,1437297077,2,1,2
25,127,996,1437297077,3,1,2
28,103,981,983447106,3,1,2
22,139,953,404720734,3,1,2
23,139,950,1357180594,3,1,2
25,124,977,377486577,3,1,2
20,108,1012,1296603823,3,1,2
29,139,958,421816385,3,1,2
28,106,986,1014765892,3,1,2
20,123,988,944928460,3,1,2
26,125,971,1520431737,3,1,2
0,163,1012,1520431737,50,1,2
0,139,1039,833285124,50,1,2
0,159,1031,897559018,50,1,2
0,138,1038,1861176114,50,1,2
0,154,1018,93637954,50,1,2
0,155,1037,239463823,50,1,2
0,162,1018,1939670667,50,1,2
0,154,1025,1179658626,50,1,2
0,124,1085,1493169236,50,1,2
0,148,1034,583716567,50,1,2
160,40,928,583716567,1.5,1,3
174,26,914,923928344,1.5,1,3
187,25,936,18804318,1.5,1,3
192,25,912,753694368,1.5,1,3
185,24,926,1489989952,1.5,1,3
175,26,914,274248952,1.5,1,3
167,27,929,725276601,1.5,1,3
197,29,906,1884535977,1.5,1,3
169,28,911,399259137,1.5,1,3
161,22,938,908032639,1.5,1,3
165,24,935,908032639,1.9,1,3
172,26,915,418697222,1.9,1,3
162,23,925,1509393787,1.9,1,3
181,27,906,226287922,1.9,1,3
190,33,925,836347872,1.9,1,3
180,23,917,1666474359,1.9,1,3
187,34,901,205202597,1.9,1,3
153,43,931,1030878200,1.9,1,3
181,19,933,571431931,1.9,1,3
171,33,942,2117104496,1.9,1,3
92,39,1045,2117104496,2,1,3
86,38,1013,2085176393,2,1,3
97,51,981,135614455,2,1,3
96,41,999,1993014544,2,1,3
100,40,1018,777171288,2,1,3
86,45,1000,869473,2,1,3
95,43,1007,701961260,2,1,3
99,35,1014,1267536498,2,1,3
102,42,1003,633836586,2,1,3
116,47,985,108418788,2,1,3
37,85,1046,108418788,3,1,3
40,78,1035,733483427,3,1,3
52,93,986,1143192628,3,1,3
46,76,1010,664876049,3,1,3
42,83,1024,1504154164,3,1,3
47,68,1025,1074470342,3,1,3
41,74,1046,1756166009,3,1,3
42,96,1005,374125028,3,1,3
44,76,1042,2147065098,3,1,3
43,88,1008,731822666,3,1,3
0,110,1136,731822666,50,1,3
0,113,1097,472884699,50,1,3
0,116,1128,1885921994,50,1,3
0,118,1104,510484580,50,1,3
0,117,1117,1385197293,50,1,3
0,97,1131,576297774,50,1,3
0,117,1096,2049684981,50,1,3
0,112,1130,1857084569,50,1,3
0,132,1067,262506254,50,1,3
0,111,1109,2012543924,50,1,3
209,18,928,2012543924,1.5,1,50
206,7,949,753056021,1.5,1,50
214,14,957,2099105293,1.5,1,50
210,11,906,1656141050,1.5,1,50
223,6,942,443041968,1.5,1,50
213,8,922,1579974408,1.5,1,50
232,18,921,1163600567,1.5,1,50
221,13,923,416845041,1.5,1,50
232,10,942,1259268124,1.5,1,50
205,10,952,1697590159,1.5,1,50
202,7,948,1697590159,1.9,1,50
211,10,933,1794905972,1.9,1,50
211,19,944,475447116,1.9,1,50
221,14,932,1909445243,1.9,1,50
221,3,931,780873075,1.9,1,50
224,13,921,1552692577,1.9,1,50
208,10,950,1702506494,1.9,1,50
227,14,938,900405750,1.9,1,50
215,11,936,60540724,1.9,1,50
224,8,911,371289953,1.9,1,50
145,7,1053,371289953,2,1,50
127,2,1087,286423296,2,1,50
158,19,1062,2075200587,2,1,50
145,9,1037,1904851633,2,1,50
128,5,1089,1482914051,2,1,50
145,6,1069,1109720083,2,1,50
135,7,1098,190276607,2,1,50
134,3,1026,587270977,2,1,50
143,12,1071,1198953044,2,1,50
139,26,1057,274231845,2,1,50
115,27,1125,274231845,3,1,50
99,3,1137,461650606,3,1,50
88,10,1170,477952795,3,1,50
109,5,1124,908224404,3,1,50
101,6,1159,1884182140,3,1,50
105,11,1122,1277085122,3,1,50
97,14,1171,626693176,3,1,50
109,11,1159,1812520101,3,1,50
122,6,1141,850773893,3,1,50
117,3,1135,206080106,3,1,50
0,0,1646,206080106,50,1,50
0,0,1694,109893505,50,1,50
0,0,1614,1441596756,50,1,50
0,0,1665,41250865,50,1,50
0,0,1638,346409731,50,1,50
0,0,1648,558513780,50,1,50
0,0,1608,22137890,50,1,50
0,0,1654,1197288351,50,1,50
0,0,1626,110485774,50,1,50
0,0,1604,1117119389,50,1,50
154,179,795,1331,1.5,1,1.1
194,141,828,1411285294,1.5,1,1.1
185,166,812,1868148016,1.5,1,1.1
141,173,825,1426368227,1.5,1,1.1
172,166,814,711139737,1.5,1,1.1
149,174,818,759342701,1.5,1,1.1
158,152,826,1145871964,1.5,1,1.1
177,160,813,2004861327,1.5,1,1.1
168,185,806,238016912,1.5,1,1.1
163,179,826,1505152334,1.5,1,1.1
145,178,834,1505152334,1.9,1,1.1
144,179,840,1512172963,1.9,1,1.1
142,197,816,1521006243,1.9,1,1.1
145,165,834,1122712493,1.9,1,1.1
153,160,832,682453164,1.9,1,1.1
155,157,821,1640862054,1.9,1,1.1
144,187,826,115908158,1.9,1,1.1
156,155,840,1745301179,1.9,1,1.1
133,168,833,1003281521,1.9,1,1.1
151,162,807,2004019348,1.9,1,1.1
36,209,865,2004019348,2,1,1.1
