recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
89,27,17,3144,0.076872,0.5,1,1
101,28,12,166342724,0.081769,0.5,1,1
102,33,17,1441754,0.091282,0.5,1,1
99,29,14,1910708719,0.092084,0.5,1,1
106,20,18,1822320864,0.093355,0.5,1,1
94,33,21,1729904425,0.101008,0.5,1,1
98,36,21,1624123138,0.102508,0.5,1,1
94,19,18,1299313199,0.078630,0.5,1,1
95,31,15,1195299990,0.090944,0.5,1,1
91,22,15,1740823874,0.078253,0.5,1,1
92,26,16,1740823874,0.092548,0.6,1,1
91,19,21,1811008747,0.086415,0.6,1,1
96,28,17,1985756495,0.125019,0.6,1,1
99,35,17,566361114,0.099541,0.6,1,1
102,30,15,1861562195,0.132928,0.6,1,1
87,32,17,487219437,0.082444,0.6,1,1
94,30,18,776751016,0.158943,0.6,1,1
101,21,18,1575120418,0.107420,0.6,1,1
102,16,16,1479859021,0.101286,0.6,1,1
101,29,18,1116812812,0.098288,0.6,1,1
91,23,18,1116812812,0.096265,0.9,1,1
94,35,18,287906581,0.082025,0.9,1,1
86,29,20,1525592812,0.070376,0.9,1,1
92,32,17,1151308243,0.074908,0.9,1,1
91,35,21,1428757695,0.100834,0.9,1,1
83,38,26,20963477,0.082786,0.9,1,1
94,30,18,998374389,0.082468,0.9,1,1
88,41,15,1008326283,0.074038,0.9,1,1
88,28,21,1114477801,0.074825,0.9,1,1
91,31,24,1506129476,0.083731,0.9,1,1
21,50,53,1506129476,0.059390,1,1,1
22,60,44,1532659525,0.048211,1,1,1
26,43,59,1481296666,0.065869,1,1,1
31,44,59,419476042,0.057184,1,1,1
20,59,49,270960531,0.039153,1,1,1
27,71,40,450275465,0.047333,1,1,1
30,33,63,1311786849,0.053186,1,1,1
22,59,45,1474687019,0.053813,1,1,1
25,48,52,1840836385,0.048378,1,1,1
29,62,36,754887327,0.042826,1,1,1
29,60,36,754887327,0.051239,1.1,1,1
25,50,48,1039949706,0.043063,1.1,1,1
28,45,47,4076331,0.061878,1.1,1,1
24,62,40,733599988,0.040031,1.1,1,1
24,62,52,2037324269,0.039371,1.1,1,1
28,44,52,2942477,0.069066,1.1,1,1
26,38,51,1124564179,0.041136,1.1,1,1
26,44,48,219589705,0.062703,1.1,1,1
26,61,47,1772872888,0.055161,1.1,1,1
25,48,51,199261013,0.057382,1.1,1,1
17,58,52,199261013,0.041701,1.5,1,1
16,56,54,1663849275,0.050744,1.5,1,1
22,54,50,1920489575,0.054295,1.5,1,1
14,59,46,2070206837,0.032185,1.5,1,1
22,65,53,1554064684,0.042951,1.5,1,1
19,56,50,466342397,0.039545,1.5,1,1
19,49,58,2124868149,0.044714,1.5,1,1
29,47,44,1564056528,0.045398,1.5,1,1
16,66,53,1937554267,0.035906,1.5,1,1
22,54,57,401017012,0.048707,1.5,1,1
19,47,61,401017012,0.046323,1.9,1,1
19,63,53,1926121425,0.034548,1.9,1,1
21,54,54,1157346099,0.048861,1.9,1,1
17,64,60,1909963404,0.046717,1.9,1,1
25,50,56,1893611217,0.047234,1.9,1,1
20,61,48,2077995265,0.038621,1.9,1,1
17,61,43,1148818007,0.035908,1.9,1,1
15,51,54,584446692,0.032157,1.9,1,1
23,49,49,824311350,0.040839,1.9,1,1
21,54,48,2035058472,0.045581,1.9,1,1
10,67,52,2035058472,0.045469,2,1,1
8,58,61,746637488,0.035368,2,1,1
8,57,59,1395604811,0.032011,2,1,1
6,65,64,648399048,0.035160,2,1,1
7,49,71,2062677003,0.027374,2,1,1
6,57,65,608614881,0.029242,2,1,1
11,65,59,1540564192,0.039349,2,1,1
9,67,57,1130556296,0.037039,2,1,1
9,61,59,655090358,0.031461,2,1,1
7,49,71,2068576565,0.031489,2,1,1
5,57,70,2068576565,0.035551,3,1,1
5,64,59,920313023,0.024313,3,1,1
4,66,67,13817511,0.028701,3,1,1
4,74,61,854933434,0.031410,3,1,1
5,50,76,1438929391,0.031389,3,1,1
4,63,71,341401481,0.022520,3,1,1
5,68,70,460794217,0.029513,3,1,1
3,82,52,2054848872,0.030818,3,1,1
5,66,73,1353081156,0.036958,3,1,1
5,61,60,536789989,0.019722,3,1,1
0,74,68,536789989,0.020123,50,1,1
0,70,78,1372077442,0.023316,50,1,1
0,94,56,269235279,0.020919,50,1,1
0,77,68,1200987741,0.018845,50,1,1
0,71,73,471453581,0.021816,50,1,1
0,70,75,2111943224,0.020395,50,1,1
0,64,84,88338151,0.022622,50,1,1
0,67,84,1396998835,0.022352,50,1,1
0,76,75,591171520,0.025145,50,1,1
0,72,68,51736522,0.016339,50,1,1
126,5,15,51736522,0.138693,0.5,1,1.3
110,17,22,621736378,0.123216,0.5,1,1.3
110,4,20,1433225584,0.109185,0.5,1,1.3
119,15,19,1564538311,0.082765,0.5,1,1.3
118,15,19,1070505166,0.109132,0.5,1,1.3
112,10,21,538618654,0.081316,0.5,1,1.3
109,18,26,1937112497,0.106367,0.5,1,1.3
110,23,20,1546324840,0.111154,0.5,1,1.3
117,22,21,37790221,0.083907,0.5,1,1.3
116,40,14,1001748196,0.092830,0.5,1,1.3
116,39,13,1001748196,0.088489,0.6,1,1.3
117,15,16,697511286,0.095673,0.6,1,1.3
114,19,18,1676668742,0.107716,0.6,1,1.3
108,15,20,1089773680,0.082164,0.6,1,1.3
116,10,21,1138942799,0.104938,0.6,1,1.3
118,15,19,1863537574,0.107111,0.6,1,1.3
100,17,23,328485274,0.093422,0.6,1,1.3
118,12,12,347942978,0.096231,0.6,1,1.3
