recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
46,67,172,1102,0.202504,1.9,1,1.3
57,68,151,2069318553,0.260719,1.9,1,1.3
52,76,148,2094703439,0.184818,1.9,1,1.3
55,64,154,386236356,0.184605,1.9,1,1.3
46,80,162,58651911,0.218667,1.9,1,1.3
29,90,183,58651911,0.183924,2,1,1.3
30,84,175,188757529,0.178553,2,1,1.3
37,75,165,1147694979,0.160339,2,1,1.3
43,70,171,253630150,0.244138,2,1,1.3
35,74,180,903343635,0.221308,2,1,1.3
11,89,217,903343635,0.171886,3,1,1.3
13,84,199,1688289432,0.158840,3,1,1.3
12,106,186,1904852231,0.180676,3,1,1.3
7,98,204,1682676871,0.148411,3,1,1.3
13,82,219,838062602,0.177184,3,1,1.3
0,112,220,838062602,0.097239,50,1,1.3
0,143,190,462466370,0.085942,50,1,1.3
0,125,212,559497585,0.084997,50,1,1.3
0,112,223,250364988,0.096208,50,1,1.3
0,109,229,1836510901,0.098603,50,1,1.3
55,72,150,1836510901,0.205108,1.9,1,1.5
57,75,146,1524930281,0.246752,1.9,1,1.5
64,53,160,695182641,0.197985,1.9,1,1.5
53,68,167,295469331,0.255529,1.9,1,1.5
49,69,157,1118315290,0.243989,1.9,1,1.5
37,75,175,1118315290,0.236030,2,1,1.5
31,71,186,1203405015,0.179840,2,1,1.5
29,56,200,449626268,0.197057,2,1,1.5
41,78,171,387849651,0.268234,2,1,1.5
34,77,177,1879821712,0.179736,2,1,1.5
15,96,189,1879821712,0.136173,3,1,1.5
13,102,196,385422021,0.136412,3,1,1.5
19,83,203,1088622774,0.127130,3,1,1.5
15,96,191,2025384177,0.109761,3,1,1.5
16,98,196,1232500990,0.132511,3,1,1.5
0,104,241,1232500990,0.078940,50,1,1.5
0,126,205,631571780,0.069122,50,1,1.5
0,107,220,913742478,0.093128,50,1,1.5
0,122,210,889602023,0.120728,50,1,1.5
0,122,216,381659662,0.108106,50,1,1.5
91,26,161,381659662,0.289671,1.9,1,2
94,27,168,1899419089,0.263503,1.9,1,2
97,30,152,45742042,0.267079,1.9,1,2
89,34,158,787653310,0.265313,1.9,1,2
94,22,158,2002951439,0.210894,1.9,1,2
43,55,203,2002951439,0.192344,2,1,2
37,51,216,2095935387,0.161921,2,1,2
39,58,195,388169637,0.160006,2,1,2
40,71,177,884034166,0.161651,2,1,2
38,53,198,2013534627,0.169080,2,1,2
24,60,221,2013534627,0.143159,3,1,2
25,61,222,666110334,0.144474,3,1,2
21,59,231,2102228700,0.136081,3,1,2
29,66,204,1789508197,0.164726,3,1,2
19,56,238,1817163583,0.125532,3,1,2
0,84,261,1817163583,0.085199,50,1,2
0,75,290,641281026,0.100217,50,1,2
0,101,248,1312087507,0.068410,50,1,2
0,96,243,1320401161,0.077761,50,1,2
0,103,248,1974801913,0.084278,50,1,2
103,14,176,1974801913,0.225259,1.9,1,3
97,20,172,32925796,0.252163,1.9,1,3
101,14,180,1468915685,0.247760,1.9,1,3
114,13,172,92907684,0.246757,1.9,1,3
101,12,170,1121557644,0.260124,1.9,1,3
67,15,211,1121557644,0.196203,2,1,3
57,16,242,1767193718,0.263084,2,1,3
69,19,229,1233783914,0.258195,2,1,3
63,22,234,2084424889,0.238293,2,1,3
78,19,217,1339886057,0.263187,2,1,3
36,38,253,1339886057,0.220670,3,1,3
34,34,246,980616836,0.170064,3,1,3
32,41,250,1903846131,0.242335,3,1,3
27,37,265,1886295945,0.217011,3,1,3
31,40,255,1332302613,0.183420,3,1,3
0,50,340,1332302613,0.092137,50,1,3
0,50,338,453821348,0.098227,50,1,3
0,75,289,1813442652,0.100701,50,1,3
0,40,354,411628664,0.102877,50,1,3
0,47,343,115429330,0.106155,50,1,3
108,7,189,115429330,0.343862,1.9,1,50
121,5,191,1731129183,0.436049,1.9,1,50
122,12,191,1376963239,0.444620,1.9,1,50
119,2,184,1973948189,0.409321,1.9,1,50
127,8,177,1253283896,0.454151,1.9,1,50
87,8,242,1253283896,0.358527,2,1,50
91,2,252,1056902872,0.390364,2,1,50
109,0,242,785086859,0.440313,2,1,50
98,9,235,1872114209,0.325909,2,1,50
