recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,2731689519.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,3331144707.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,2528724680.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,3262370625.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,2260654259.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,1791996554.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,2087707002.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,3384369920.000000,1.6,1.61,1,2,50,1000,2147483647
0,0,0,2013546471.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2981503999.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2077447156.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2404167714.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,1739755443.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3507737698.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2710434889.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2113744635.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3160475491.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,3521172969.000000,1.5,1.51,1,2,50,1000,2147483647
0,0,0,2979436532.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,3141560598.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,3464986287.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,3081986229.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,2643310434.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,3205290999.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,2913516306.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,2954321413.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,3462263272.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,1745938524.000000,1.4,1.41,1,2,50,1000,2147483647
0,0,0,2683221823.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,2155962632.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,1815402964.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,2992323854.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,3197062765.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,3463018022.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,1768248779.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,2052350932.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,1962151034.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,3296112589.000000,1.3,1.31,1,2,50,1000,2147483647
0,0,0,2753952038.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2871106026.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2065448597.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2099000815.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3144943383.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3493065978.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2448071049.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3215758031.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,3015127996.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,2338916419.000000,1.2,1.21,1,2,50,1000,2147483647
0,0,0,1700565590.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2977605097.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,1949847792.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2644615807.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2776168536.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,3117373612.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2496380422.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2848024417.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2778491825.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,2671948090.000000,1.1,1.11,1,2,50,1000,2147483647
0,0,0,1781868744.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,1838066654.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,2424029731.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,2049527755.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,3553493868.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,2340950589.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,1950138770.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,1653467035.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,2293361104.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,2291906034.000000,1,1.01,1,2,50,1000,2147483647
0,0,0,3663802864.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2423215342.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,3688342434.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,1864520005.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2683404918.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,1977825110.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,3405310038.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2326382441.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2287266470.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2332331088.000000,0.9,0.91,1,2,50,1000,2147483647
0,0,0,2192586802.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3040355777.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2714187482.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3511168912.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,1740423647.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,3348478080.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2913626488.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,1668092273.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2491356138.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2101356211.000000,0.8,0.81,1,2,50,1000,2147483647
0,0,0,2684703674.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3419442603.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2798269828.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2726418631.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2272000930.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3633357539.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,1736057099.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2204829828.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2243398397.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,3714569704.000000,0.7,0.71,1,2,50,1000,2147483647
0,0,0,2368825094.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3374715936.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3105955849.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2573034274.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2356809164.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2072372673.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,1846877694.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,3451231320.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,1913707649.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,1781679448.000000,0.6,0.61,1,2,50,1000,2147483647
0,0,0,2002256203.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2670898100.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,1769738629.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,3743799972.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2735064112.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2601679384.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2279117573.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,1794602091.000000,0.5,0.51,1,2,50,1000,2147483647
