recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
165,256,2027,1086,1.5,1,1.1
158,248,2036,1142750416,1.5,1,1.1
146,263,2039,1767499944,1.5,1,1.1
158,278,2010,262572822,1.5,1,1.1
158,269,1995,339112392,1.5,1,1.1
158,266,2001,1133572379,1.5,1,1.1
167,240,2009,455827548,1.5,1,1.1
153,266,1968,1723551784,1.5,1,1.1
173,245,2034,409174636,1.5,1,1.1
155,263,1992,339221497,1.5,1,1.1
116,288,2016,339221497,1.9,1,1.1
124,320,1999,1901898544,1.9,1,1.1
129,270,2049,23874007,1.9,1,1.1
125,296,2037,672091925,1.9,1,1.1
115,297,1999,1981100303,1.9,1,1.1
123,284,2024,1441141022,1.9,1,1.1
110,286,2058,1401141160,1.9,1,1.1
125,291,2030,2085791429,1.9,1,1.1
126,260,2052,1100236561,1.9,1,1.1
105,277,2052,1995889109,1.9,1,1.1
61,275,2143,1995889109,2,1,1.1
81,279,2101,396683780,2,1,1.1
72,291,2118,1650182421,2,1,1.1
87,290,2088,95088698,2,1,1.1
73,304,2079,1520898198,2,1,1.1
71,284,2121,11690175,2,1,1.1
71,316,2072,1437486510,2,1,1.1
85,305,2100,332558292,2,1,1.1
73,277,2119,489764880,2,1,1.1
58,295,2093,1125594562,2,1,1.1
18,364,2107,1125594562,3,1,1.1
32,362,2113,470267156,3,1,1.1
24,372,2126,1184626156,3,1,1.1
23,330,2145,473101787,3,1,1.1
17,364,2114,2084984317,3,1,1.1
20,375,2104,63580325,3,1,1.1
15,348,2163,1278842933,3,1,1.1
12,379,2132,120046120,3,1,1.1
23,354,2145,406663786,3,1,1.1
19,361,2136,1050628212,3,1,1.1
0,401,2150,1050628212,50,1,1.1
0,423,2117,152055491,50,1,1.1
0,424,2137,1258528034,50,1,1.1
0,412,2132,1917627294,50,1,1.1
0,375,2186,1393363767,50,1,1.1
0,385,2168,728987764,50,1,1.1
0,370,2190,2131852722,50,1,1.1
0,382,2181,1470231450,50,1,1.1
0,375,2178,729096050,50,1,1.1
0,411,2123,768874014,50,1,1.1
177,241,1981,768874014,1.5,1,1.3
165,260,2017,298556583,1.5,1,1.3
177,264,2004,1769476819,1.5,1,1.3
161,242,2047,1373187193,1.5,1,1.3
173,235,2019,88814505,1.5,1,1.3
157,257,2017,1150386446,1.5,1,1.3
175,246,2020,1031895788,1.5,1,1.3
165,241,2034,872797519,1.5,1,1.3
189,230,2032,393245567,1.5,1,1.3
165,257,2019,724346591,1.5,1,1.3
129,289,2035,724346591,1.9,1,1.3
