recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
4,0,2,1785,0.5,1,1
5,0,2,1183710852,0.5,1,1
4,0,2,1909739090,0.5,1,1
3,0,2,1027772124,0.5,1,1
5,0,2,1589493192,0.5,1,1
4,0,2,618449653,0.5,1,1
5,0,2,1607139598,0.5,1,1
4,0,2,1394184142,0.5,1,1
4,0,2,1847731922,0.5,1,1
3,0,2,1570521270,0.5,1,1
3,0,2,1570521270,0.6,1,1
4,0,2,1690096457,0.6,1,1
6,0,1,897113286,0.6,1,1
4,0,2,1985895064,0.6,1,1
4,0,2,1548029506,0.6,1,1
5,1,2,1216766083,0.6,1,1
3,0,2,1395217480,0.6,1,1
6,0,2,279530306,0.6,1,1
7,0,2,155426549,0.6,1,1
4,0,2,941842172,0.6,1,1
4,0,2,941842172,0.9,1,1
4,0,2,1351973117,0.9,1,1
11,0,0,171671627,0.9,1,1
5,0,2,1289701905,0.9,1,1
4,0,2,1954487927,0.9,1,1
9,1,1,930609420,0.9,1,1
5,0,2,1936242485,0.9,1,1
4,0,2,1120187695,0.9,1,1
5,0,2,453284524,0.9,1,1
4,0,2,1391573828,0.9,1,1
0,0,6,1391573828,1,1,1
0,1,4,39763582,1,1,1
0,1,4,655923928,1,1,1
0,1,4,135955037,1,1,1
0,0,6,289289047,1,1,1
0,1,4,1115750030,1,1,1
0,1,4,997233462,1,1,1
0,1,4,900664992,1,1,1
0,5,5,1190538415,1,1,1
0,1,4,1039348715,1,1,1
0,1,4,1039348715,1.1,1,1
0,0,6,942564623,1.1,1,1
0,0,6,191010443,1.1,1,1
0,1,4,1530636973,1.1,1,1
0,1,5,60752147,1.1,1,1
0,0,6,1259433302,1.1,1,1
0,1,4,1668409191,1.1,1,1
0,1,4,1828959710,1.1,1,1
0,1,4,923956744,1.1,1,1
0,3,3,1792646850,1.1,1,1
0,3,4,1792646850,1.5,1,1
0,1,5,387948223,1.5,1,1
0,1,4,1028643117,1.5,1,1
0,1,5,784141996,1.5,1,1
0,1,5,1101755892,1.5,1,1
0,0,6,1006511049,1.5,1,1
0,0,6,661420094,1.5,1,1
0,1,4,306098300,1.5,1,1
0,0,6,2074714549,1.5,1,1
0,1,4,1589002227,1.5,1,1
0,1,4,1589002227,1.9,1,1
0,0,6,409124095,1.9,1,1
0,1,4,823900620,1.9,1,1
0,1,5,891599247,1.9,1,1
0,1,4,1101432219,1.9,1,1
0,4,6,431141392,1.9,1,1
0,1,4,1125001987,1.9,1,1
0,1,4,418157727,1.9,1,1
0,2,4,49257901,1.9,1,1
0,1,4,786601411,1.9,1,1
0,1,4,786601411,2,1,1
0,1,5,590460915,2,1,1
0,0,6,1243529011,2,1,1
0,1,4,295086367,2,1,1
0,1,4,1682414082,2,1,1
0,1,4,1385545215,2,1,1
0,1,5,877534804,2,1,1
0,1,4,866846020,2,1,1
0,0,6,1146361697,2,1,1
0,0,6,760855156,2,1,1
0,1,5,760855156,3,1,1
0,0,6,2136469436,3,1,1
0,1,4,428612691,3,1,1
0,1,4,938491561,3,1,1
0,1,4,752051279,3,1,1
0,0,6,1879919891,3,1,1
0,2,4,1531177639,3,1,1
0,1,4,1207998325,3,1,1
0,1,4,519198051,3,1,1
0,0,6,401978883,3,1,1
0,0,6,401978883,50,1,1
0,1,4,1583883328,50,1,1
0,1,4,1695551058,50,1,1
0,1,4,500641129,50,1,1
0,1,5,103871049,50,1,1
0,0,6,177276899,50,1,1
0,1,4,123394387,50,1,1
0,1,4,1643013339,50,1,1
0,1,4,1825470044,50,1,1
0,1,5,578757922,50,1,1
6,0,1,578757922,0.5,1,1.3
5,0,2,967901025,0.5,1,1.3
3,0,2,1915693709,0.5,1,1.3
3,0,2,506278461,0.5,1,1.3
3,0,2,1249553713,0.5,1,1.3
4,0,2,1869744452,0.5,1,1.3
3,0,2,1540043873,0.5,1,1.3
4,0,2,1548398592,0.5,1,1.3
4,0,2,1748853308,0.5,1,1.3
6,0,2,1810356748,0.5,1,1.3
6,0,2,1810356748,0.6,1,1.3
5,0,3,1837786389,0.6,1,1.3
5,0,2,352374154,0.6,1,1.3
5,0,2,242089420,0.6,1,1.3
4,0,2,1091598435,0.6,1,1.3
6,0,2,1303907651,0.6,1,1.3
6,0,1,28824869,0.6,1,1.3
5,0,2,311112501,0.6,1,1.3
4,0,2,1001942810,0.6,1,1.3
6,0,1,345803997,0.6,1,1.3
6,0,1,345803997,0.9,1,1.3
4,0,2,545025183,0.9,1,1.3
