recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
59,13,23,2767,0.5,1,1
59,12,27,1111926041,0.5,1,1
48,9,25,2114465588,0.5,1,1
53,12,30,1978527313,0.5,1,1
45,13,32,1784509142,0.5,1,1
55,3,34,1916057084,0.5,1,1
49,8,31,2008697096,0.5,1,1
45,15,32,2087774724,0.5,1,1
51,8,31,2104333303,0.5,1,1
56,10,25,391572777,0.5,1,1
55,9,26,391572777,0.6,1,1
50,11,28,134688495,0.6,1,1
61,2,30,360703838,0.6,1,1
56,26,28,1425053508,0.6,1,1
55,6,31,1681708626,0.6,1,1
61,20,20,276987169,0.6,1,1
40,8,31,1307694943,0.6,1,1
56,11,26,2014810645,0.6,1,1
43,16,27,159134227,0.6,1,1
53,8,30,775459715,0.6,1,1
43,10,34,775459715,0.9,1,1
39,14,27,58488962,0.9,1,1
52,7,30,1682658226,0.9,1,1
45,8,35,1340836695,0.9,1,1
41,11,34,1069958197,0.9,1,1
45,7,33,691448291,0.9,1,1
42,13,31,351292259,0.9,1,1
48,10,29,191079377,0.9,1,1
50,8,30,1612021614,0.9,1,1
46,10,34,2052235265,0.9,1,1
7,16,57,2052235265,1,1,1
8,17,52,694546463,1,1,1
10,24,43,986397419,1,1,1
7,21,46,2024928851,1,1,1
10,15,56,424507413,1,1,1
6,19,49,725196558,1,1,1
9,17,52,889491685,1,1,1
12,23,48,1032819870,1,1,1
6,20,52,1133968137,1,1,1
11,14,54,1123818823,1,1,1
11,15,54,1123818823,1.1,1,1
10,15,51,818764449,1.1,1,1
7,26,48,2008577512,1.1,1,1
7,19,46,1405335491,1.1,1,1
4,34,39,349273171,1.1,1,1
12,13,54,1992244759,1.1,1,1
11,14,50,437732353,1.1,1,1
12,15,60,331317489,1.1,1,1
10,18,47,230175472,1.1,1,1
11,21,51,730148731,1.1,1,1
9,26,49,730148731,1.5,1,1
7,17,50,1936187592,1.5,1,1
7,36,34,506769332,1.5,1,1
3,16,65,1936257164,1.5,1,1
7,17,56,1210738532,1.5,1,1
5,16,58,1601999719,1.5,1,1
7,17,56,217574942,1.5,1,1
8,28,53,805497992,1.5,1,1
12,18,51,401105728,1.5,1,1
5,19,49,1236029967,1.5,1,1
5,19,50,1236029967,1.9,1,1
5,23,47,1876956136,1.9,1,1
4,22,52,2013733263,1.9,1,1
6,27,46,1165095345,1.9,1,1
5,26,51,1772753649,1.9,1,1
5,18,54,411277816,1.9,1,1
5,18,55,1027257929,1.9,1,1
6,20,54,1374651751,1.9,1,1
4,18,54,1442900975,1.9,1,1
4,14,60,898415000,1.9,1,1
1,22,56,898415000,2,1,1
1,22,56,882393359,2,1,1
1,36,43,1973685362,2,1,1
1,28,50,1964717651,2,1,1
4,38,43,700768619,2,1,1
1,26,57,1025674224,2,1,1
4,19,60,1527374505,2,1,1
2,26,50,1221580225,2,1,1
1,22,64,1240868491,2,1,1
1,19,64,395657224,2,1,1
