recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
166,36,163,1417,0.199822,0.9,1,1
181,33,153,834526026,0.227817,0.9,1,1
165,44,149,14947210,0.214749,0.9,1,1
171,46,157,1343383444,0.256182,0.9,1,1
173,54,158,1718016636,0.252715,0.9,1,1
181,40,154,1313287535,0.222074,0.9,1,1
171,46,153,1798688172,0.258668,0.9,1,1
166,43,153,1782080682,0.210569,0.9,1,1
154,49,164,1306269086,0.200765,0.9,1,1
187,39,148,474663981,0.246717,0.9,1,1
189,73,151,50195540,0.229025,0.9,1,1
166,39,159,1982739547,0.221042,0.9,1,1
172,38,153,1882082224,0.217061,0.9,1,1
170,63,153,1454191094,0.224477,0.9,1,1
191,39,152,1178526661,0.246961,0.9,1,1
45,69,231,1178526661,0.127921,1,1,1
35,90,223,483683089,0.119840,1,1,1
39,92,218,977184012,0.125551,1,1,1
33,82,236,744612324,0.100438,1,1,1
41,74,238,1283772107,0.126753,1,1,1
38,71,234,1196876187,0.100253,1,1,1
43,75,231,1386035658,0.122039,1,1,1
40,84,218,593585740,0.121700,1,1,1
34,74,227,1622127385,0.107868,1,1,1
34,78,235,833260863,0.105757,1,1,1
38,68,233,1079566419,0.122110,1,1,1
38,87,225,717535317,0.139376,1,1,1
43,76,230,579150546,0.113811,1,1,1
36,78,223,1187638946,0.098970,1,1,1
38,70,233,439506517,0.117596,1,1,1
45,68,231,439506517,0.118984,1.1,1,1
31,73,232,165739702,0.097073,1.1,1,1
46,79,230,1302577696,0.120934,1.1,1,1
31,76,236,95763929,0.102991,1.1,1,1
33,86,227,624092592,0.107461,1.1,1,1
27,80,230,2097810255,0.097703,1.1,1,1
35,82,215,2118375033,0.095569,1.1,1,1
35,60,241,1367674426,0.110542,1.1,1,1
34,79,227,1872016811,0.100540,1.1,1,1
39,86,223,507673640,0.116225,1.1,1,1
40,80,222,1427575564,0.109368,1.1,1,1
36,82,229,1469514690,0.125837,1.1,1,1
27,89,231,857924689,0.114983,1.1,1,1
26,92,226,1081391336,0.087254,1.1,1,1
35,74,231,59108024,0.106220,1.1,1,1
175,36,161,59108024,0.245129,0.9,1,1.3
169,29,156,1514279521,0.214800,0.9,1,1.3
153,34,173,1409079058,0.218659,0.9,1,1.3
148,34,165,92233245,0.191200,0.9,1,1.3
179,30,163,795915800,0.264909,0.9,1,1.3
178,37,158,2042114093,0.266373,0.9,1,1.3
195,44,151,1862921917,0.244095,0.9,1,1.3
181,38,163,1638860379,0.281931,0.9,1,1.3
176,27,169,917563041,0.288083,0.9,1,1.3
159,34,168,908734859,0.229468,0.9,1,1.3
187,35,151,1994467018,0.255444,0.9,1,1.3
181,37,154,39268345,0.233581,0.9,1,1.3
188,26,160,1846938036,0.261800,0.9,1,1.3
166,27,172,1738168616,0.256021,0.9,1,1.3
176,33,161,1867488591,0.220660,0.9,1,1.3
80,25,252,1867488591,0.128145,1,1,1.3
83,26,237,2082957865,0.138319,1,1,1.3
75,39,236,1345832588,0.142150,1,1,1.3
69,30,247,1478851867,0.132324,1,1,1.3
83,35,228,1932932397,0.154819,1,1,1.3
95,23,232,1643494117,0.165778,1,1,1.3
74,33,237,259129820,0.153676,1,1,1.3
80,33,241,86383954,0.149521,1,1,1.3
70,35,240,84698775,0.167133,1,1,1.3
88,27,238,1105470408,0.146210,1,1,1.3
88,36,234,983602097,0.162529,1,1,1.3
89,35,236,96450887,0.157190,1,1,1.3
90,29,238,50196331,0.153899,1,1,1.3
75,32,240,1237694136,0.152982,1,1,1.3
74,42,238,296105122,0.175796,1,1,1.3
72,39,239,296105122,0.155424,1.1,1,1.3
74,29,249,1810063046,0.140742,1.1,1,1.3
73,31,248,103740567,0.151495,1.1,1,1.3
80,31,234,1839664895,0.145254,1.1,1,1.3
73,35,235,896142412,0.132278,1.1,1,1.3
75,23,256,46578863,0.133067,1.1,1,1.3
75,29,246,320130338,0.132758,1.1,1,1.3
86,21,245,2139278727,0.160946,1.1,1,1.3
79,31,238,2085428691,0.138763,1.1,1,1.3
93,25,247,489497912,0.164536,1.1,1,1.3
80,33,236,2131707750,0.140238,1.1,1,1.3
94,26,234,1291906922,0.161803,1.1,1,1.3
68,27,257,1422218494,0.131157,1.1,1,1.3
73,29,249,922370551,0.133915,1.1,1,1.3
77,41,231,1585352086,0.162804,1.1,1,1.3
176,33,153,1585352086,0.235592,0.9,1,1.5
191,24,163,1477509945,0.287257,0.9,1,1.5
160,29,173,1753248432,0.232955,0.9,1,1.5
158,36,161,479231509,0.217650,0.9,1,1.5
178,29,158,2141459843,0.233387,0.9,1,1.5
166,30,173,2029014836,0.229401,0.9,1,1.5
190,27,152,1981222365,0.292039,0.9,1,1.5
180,19,178,1847631752,0.264671,0.9,1,1.5
188,31,157,1510116461,0.292859,0.9,1,1.5
167,28,167,252703917,0.210597,0.9,1,1.5
173,27,166,225142669,0.248607,0.9,1,1.5
189,34,156,1722286522,0.278232,0.9,1,1.5
179,33,158,1513788600,0.238411,0.9,1,1.5
176,22,165,1931819640,0.232701,0.9,1,1.5
180,29,159,195325150,0.250898,0.9,1,1.5
71,32,244,195325150,0.140428,1,1,1.5
89,37,232,2092653815,0.182202,1,1,1.5
72,24,259,1977562716,0.142495,1,1,1.5
87,33,237,556025031,0.168443,1,1,1.5
80,24,240,363795847,0.137856,1,1,1.5
92,29,229,1005734552,0.159204,1,1,1.5
70,25,255,486046299,0.142207,1,1,1.5
81,23,245,428084681,0.151439,1,1,1.5
86,27,249,1032163155,0.181174,1,1,1.5
86,24,253,1854485040,0.170662,1,1,1.5
95,34,229,623562878,0.191648,1,1,1.5
85,25,256,613690924,0.163628,1,1,1.5
96,20,245,1941078083,0.183280,1,1,1.5
80,20,260,1625658327,0.151598,1,1,1.5
78,27,238,1868181715,0.137853,1,1,1.5
78,27,237,1868181715,0.132821,1.1,1,1.5
85,25,249,134713679,0.158553,1.1,1,1.5
81,25,243,961462810,0.136273,1.1,1,1.5
88,25,247,1561906468,0.169858,1.1,1,1.5
88,26,244,580778398,0.151977,1.1,1,1.5
85,22,242,916072759,0.142791,1.1,1,1.5
71,29,243,1540373913,0.139191,1.1,1,1.5
80,34,247,292749108,0.159229,1.1,1,1.5
72,32,246,1624059740,0.137611,1.1,1,1.5
78,37,232,982756096,0.130643,1.1,1,1.5
82,29,233,1705234502,0.141553,1.1,1,1.5
69,25,244,1449846293,0.118401,1.1,1,1.5
82,36,226,318090033,0.142202,1.1,1,1.5
82,29,250,1783570868,0.154907,1.1,1,1.5
79,22,253,1324321550,0.131397,1.1,1,1.5
187,10,181,1324321550,0.235987,0.9,1,2
206,10,166,750785871,0.303319,0.9,1,2
201,15,162,1566064519,0.251348,0.9,1,2
196,16,172,1231684420,0.274698,0.9,1,2
207,10,171,398428336,0.361861,0.9,1,2
187,13,172,396620293,0.263897,0.9,1,2
193,16,170,1122253775,0.285643,0.9,1,2
201,15,171,404523386,0.270929,0.9,1,2
223,22,150,1443578158,0.261424,0.9,1,2
175,24,169,400266375,0.234268,0.9,1,2
204,18,160,1933103175,0.255292,0.9,1,2
225,20,156,960655945,0.273292,0.9,1,2
195,15,170,1737775277,0.272887,0.9,1,2
208,8,174,1896165392,0.266534,0.9,1,2
214,21,159,828457605,0.266074,0.9,1,2
84,22,255,828457605,0.143795,1,1,2
94,30,241,1512843128,0.147478,1,1,2
76,25,259,1741576405,0.135198,1,1,2
93,20,252,1655062694,0.148539,1,1,2
95,18,265,98179896,0.160085,1,1,2
82,21,235,1173303400,0.128272,1,1,2
82,23,254,2082571199,0.145454,1,1,2
84,26,261,2071904980,0.146457,1,1,2
89,25,255,981269620,0.152695,1,1,2
86,20,251,112153547,0.147582,1,1,2
73,26,246,253538800,0.131755,1,1,2
88,18,261,1649620352,0.156658,1,1,2
72,22,259,40167401,0.125254,1,1,2
88,15,257,482934115,0.157376,1,1,2
78,15,260,345006089,0.136290,1,1,2
77,16,260,345006089,0.134894,1.1,1,2
80,26,250,1940184086,0.126423,1.1,1,2
84,20,252,382917324,0.140455,1.1,1,2
85,21,247,988394727,0.138200,1.1,1,2
101,20,230,543521995,0.159758,1.1,1,2
89,27,241,1904155446,0.141742,1.1,1,2
82,21,256,370211618,0.145364,1.1,1,2
86,32,243,1969723556,0.141016,1.1,1,2
79,24,250,1217931486,0.133709,1.1,1,2
83,25,246,1387986696,0.144110,1.1,1,2
77,18,263,781475862,0.126065,1.1,1,2
74,25,247,1143046189,0.129078,1.1,1,2
68,17,267,1172096718,0.137108,1.1,1,2
99,23,237,404253050,0.153306,1.1,1,2
83,16,253,1318825602,0.137924,1.1,1,2
198,15,179,1318825602,0.272589,0.9,1,3
199,15,179,1716293945,0.383629,0.9,1,3
222,18,167,1724207657,0.375850,0.9,1,3
221,16,178,823439619,0.286341,0.9,1,3
220,13,179,223451881,0.324866,0.9,1,3
224,16,173,929451906,0.310371,0.9,1,3
232,11,177,687144753,0.345975,0.9,1,3
230,8,166,1952801870,0.349721,0.9,1,3
227,10,166,1629307246,0.291907,0.9,1,3
213,12,175,167030741,0.343667,0.9,1,3
224,13,170,2107467813,0.318554,0.9,1,3
206,17,178,221652526,0.292557,0.9,1,3
223,14,167,840061478,0.343616,0.9,1,3
204,8,189,136835354,0.267773,0.9,1,3
217,4,186,1554966905,0.321462,0.9,1,3
106,8,274,1554966905,0.202906,1,1,3
99,5,270,1809803854,0.172899,1,1,3
90,10,267,1512128314,0.142658,1,1,3
100,8,268,424078105,0.157694,1,1,3
95,14,281,455766018,0.175481,1,1,3
110,6,268,1833086903,0.185695,1,1,3
102,2,268,1983963924,0.155767,1,1,3
113,9,265,1874226184,0.179555,1,1,3
102,20,259,1821061624,0.146111,1,1,3
99,5,275,1359348261,0.172000,1,1,3
100,11,276,2145510803,0.182821,1,1,3
96,5,274,1447421633,0.163136,1,1,3
106,24,258,1109872904,0.205407,1,1,3
105,6,266,1467660656,0.179647,1,1,3
129,22,247,419037237,0.259058,1,1,3
126,17,249,419037237,0.244989,1.1,1,3
105,9,261,1462237712,0.169334,1.1,1,3
104,9,260,347670309,0.177078,1.1,1,3
107,15,251,1605426432,0.186969,1.1,1,3
105,6,269,490320581,0.189597,1.1,1,3
105,15,251,763942405,0.193461,1.1,1,3
91,6,275,1663289021,0.169031,1.1,1,3
102,8,268,554114829,0.177912,1.1,1,3
114,6,246,301895807,0.183780,1.1,1,3
108,7,263,1233592478,0.178665,1.1,1,3
91,7,267,1369375847,0.150527,1.1,1,3
123,3,271,1258533841,0.209547,1.1,1,3
104,22,260,767529209,0.179301,1.1,1,3
101,4,264,1439324160,0.170060,1.1,1,3
99,17,253,50001431,0.182920,1.1,1,3
221,71,200,1488,0.263380,0.9,1,1
226,79,198,667199706,0.250030,0.9,1,1
222,83,202,621901840,0.256472,0.9,1,1
227,58,211,1331888084,0.259994,0.9,1,1
228,86,190,340112598,0.303773,0.9,1,1
218,86,198,2032277561,0.296250,0.9,1,1
221,81,213,317224741,0.339454,0.9,1,1
219,60,209,310393718,0.246827,0.9,1,1
230,82,193,1958224821,0.269789,0.9,1,1
245,75,203,534819768,0.306129,0.9,1,1
226,78,194,1112055069,0.256940,0.9,1,1
