recombinations,back mutations,recurrent mutations,run seed,time to build,recombination cost,recurrent mutation cost,back mutation cost
81,22,62,1520,0.040906,0.5,1,1
91,28,57,1620996752,0.062516,0.5,1,1
85,24,60,1915493925,0.051441,0.5,1,1
94,13,68,408826065,0.066973,0.5,1,1
88,16,66,113666817,0.060509,0.5,1,1
91,18,62,606396926,0.063927,0.5,1,1
83,21,57,383132365,0.058498,0.5,1,1
93,18,52,1081155917,0.057030,0.5,1,1
86,16,61,1871262585,0.061569,0.5,1,1
99,24,60,828783079,0.064190,0.5,1,1
79,13,68,72949383,0.063247,0.5,1,1
88,19,60,354930020,0.064706,0.5,1,1
82,25,64,1802618474,0.054719,0.5,1,1
74,17,66,106324276,0.049072,0.5,1,1
89,18,68,1971000048,0.058635,0.5,1,1
91,27,58,1907088944,0.060299,0.5,1,1
83,9,68,1254417503,0.056394,0.5,1,1
82,24,67,244500544,0.051689,0.5,1,1
91,14,64,466784526,0.059388,0.5,1,1
81,13,67,1419249607,0.058128,0.5,1,1
81,22,62,1161222369,0.055737,0.5,1,1
74,19,72,1536556150,0.044573,0.5,1,1
75,15,63,776042837,0.054089,0.5,1,1
88,11,64,2091172204,0.055071,0.5,1,1
96,21,59,2056285679,0.058355,0.5,1,1
77,31,58,1285931883,0.042233,0.5,1,1
78,16,63,1615956712,0.047020,0.5,1,1
73,14,67,1236233758,0.043016,0.5,1,1
83,26,64,618812732,0.052071,0.5,1,1
87,17,66,544642967,0.056316,0.5,1,1
92,20,63,930626792,0.060829,0.5,1,1
79,15,69,1987833140,0.056471,0.5,1,1
80,16,66,808362337,0.061724,0.5,1,1
97,13,60,33867133,0.058564,0.5,1,1
71,15,72,2124959132,0.047295,0.5,1,1
90,28,64,25332688,0.065713,0.5,1,1
99,23,58,1416429785,0.061570,0.5,1,1
96,23,55,1967143466,0.060000,0.5,1,1
89,17,61,645795397,0.049149,0.5,1,1
94,14,68,702401350,0.060766,0.5,1,1
83,16,65,1000695643,0.046266,0.5,1,1
86,13,61,1925100017,0.049185,0.5,1,1
81,18,66,559474471,0.056734,0.5,1,1
91,10,70,1609864217,0.063457,0.5,1,1
78,17,68,1757406591,0.048807,0.5,1,1
79,10,65,1853480495,0.048976,0.5,1,1
78,19,70,1292705363,0.050000,0.5,1,1
76,16,64,1704568130,0.058145,0.5,1,1
71,30,59,1618001805,0.050641,0.5,1,1
89,22,60,2000092945,0.062557,0.5,1,1
89,23,59,2000092945,0.062255,0.6,1,1
79,19,67,547323553,0.049309,0.6,1,1
87,15,65,2096623267,0.053962,0.6,1,1
84,16,65,541050447,0.057998,0.6,1,1
84,17,67,815629688,0.057457,0.6,1,1
72,15,69,539727455,0.047618,0.6,1,1
88,15,63,1989340683,0.066818,0.6,1,1
89,8,71,891542852,0.061273,0.6,1,1
81,11,70,1277417080,0.051556,0.6,1,1
79,27,57,1803828868,0.047035,0.6,1,1
91,31,68,536218062,0.069592,0.6,1,1
78,13,67,1980594815,0.062644,0.6,1,1
91,24,53,1395816068,0.065476,0.6,1,1
81,15,60,1158968213,0.060772,0.6,1,1
78,15,65,1789699350,0.047632,0.6,1,1
82,11,68,2043892366,0.055638,0.6,1,1
83,16,69,517634844,0.055798,0.6,1,1
97,14,62,1043281112,0.071661,0.6,1,1
78,19,66,1920862500,0.045806,0.6,1,1
88,12,63,1638886838,0.063482,0.6,1,1
85,13,70,1088770662,0.053433,0.6,1,1
87,18,61,118451840,0.056711,0.6,1,1
85,21,55,517270451,0.050429,0.6,1,1
84,20,60,861382856,0.055834,0.6,1,1
73,9,75,291710105,0.049740,0.6,1,1
81,15,66,796670732,0.052975,0.6,1,1
89,14,66,1562901687,0.062745,0.6,1,1
83,23,61,1613662356,0.058170,0.6,1,1
91,14,66,1002824313,0.064366,0.6,1,1
77,11,67,901576237,0.055780,0.6,1,1
77,24,54,1778299386,0.047440,0.6,1,1
73,21,67,1149888605,0.048742,0.6,1,1
89,13,61,1956622740,0.058852,0.6,1,1
85,16,57,23049698,0.052789,0.6,1,1
81,12,71,283704414,0.049700,0.6,1,1
106,32,55,1018136575,0.071473,0.6,1,1
89,17,58,1644636130,0.061172,0.6,1,1
77,17,66,265557554,0.048930,0.6,1,1
82,32,64,152142747,0.048164,0.6,1,1
90,23,56,1786585493,0.057990,0.6,1,1
95,23,53,1001794976,0.061957,0.6,1,1
83,16,67,1370572884,0.056019,0.6,1,1
101,12,57,1518155244,0.067343,0.6,1,1
